,Genre,BoxOffice
473,喜剧,807.0
474,动画,807.0
475,冒险,799.0
476,喜剧,799.0
477,动画,799.0
478,奇幻,797.0
479,冒险,797.0
480,家庭,797.0
481,奇幻,795.0
482,冒险,795.0
483,动作,795.0
484,家庭,793.0
485,科幻,793.0
486,冒险,791.0
487,惊悚,791.0
488,动作,791.0
489,惊悚,789.0
490,犯罪,789.0
491,动作,789.0
492,奇幻,787.0
493,冒险,787.0
494,动作,787.0
495,冒险,784.0
496,科幻,784.0
497,动作,784.0
498,冒险,783.0
499,喜剧,783.0
500,动作,783.0
501,奇幻,775.0
502,冒险,775.0
503,动作,775.0
504,冒险,773.0
505,喜剧,773.0
506,动作,773.0
507,冒险,770.0
508,科幻,770.0
509,动作,770.0
510,冒险,759.0
511,家庭,759.0
512,动作,759.0
513,悬疑,758.0
514,惊悚,758.0
515,冒险,758.0
516,科幻,758.0
517,动作,758.0
518,冒险,755.0
519,科幻,755.0
520,动作,755.0
521,冒险,753.0
522,喜剧,753.0
523,动画,753.0
524,冒险,748.0
525,科幻,748.0
526,动作,748.0
527,冒险,747.0
528,喜剧,747.0
529,动画,747.0
530,奇幻,747.0
531,冒险,747.0
532,动作,747.0
533,奇幻,745.0
534,冒险,745.0
535,家庭,745.0
536,冒险,744.0
537,喜剧,744.0
538,动画,744.0
539,科幻,742.0
540,动作,742.0
541,冒险,735.0
542,喜剧,735.0
543,动画,735.0
544,冒险,734.0
545,喜剧,734.0
546,动作,734.0
547,惊悚,723.0
548,科幻,723.0
549,剧情,723.0
550,奇幻,937.0
551,冒险,937.0
552,动作,937.0
553,奇幻,761.0
554,冒险,761.0
555,动作,761.0
556,冒险,700.0
557,科幻,700.0
558,动作,700.0
559,奇幻,679.0
560,冒险,679.0
561,动作,679.0
562,爱情,659.0
563,剧情,659.0
564,冒险,652.0
565,科幻,652.0
566,动作,652.0
567,冒险,623.0
568,科幻,623.0
569,动作,623.0
570,奇幻,620.0
571,冒险,620.0
572,动作,620.0
573,冒险,609.0
574,动作,609.0
575,动画,609.0
576,犯罪,535.0
577,动作,535.0
578,剧情,535.0
579,冒险,532.0
580,科幻,532.0
581,动作,532.0
582,奇幻,504.0
583,家庭,504.0
584,歌舞,504.0
585,冒险,486.0
586,喜剧,486.0
587,动画,486.0
588,奇幻,475.0
589,冒险,475.0
590,动作,475.0
591,奇幻,461.0
592,冒险,461.0
593,动作,461.0
594,冒险,459.0
595,科幻,459.0
596,动作,459.0
597,惊悚,448.0
598,动作,448.0
599,冒险,441.0
600,喜剧,441.0
601,动画,441.0
602,家庭,435.0
603,科幻,435.0
604,悬疑,425.0
605,冒险,425.0
606,动作,425.0
607,奇幻,423.0
608,冒险,423.0
609,动作,423.0
610,冒险,423.0
611,剧情,423.0
612,动画,423.0
613,冒险,418.0
